split,harrell_cindex_36,ipcw_cindex_36,brier_36,harrell_cindex_60,ipcw_cindex_60,brier_60,harrell_cindex_84,ipcw_cindex_84,brier_84,harrell_cindex_120,ipcw_cindex_120,brier_120,ipcw_cindex_mean,primary_ipcw_cindex
train,0.7275819793125524,0.7760187201661441,0.09311416277074364,0.7231696372337586,0.7377799981580283,0.13535938179796944,0.7177252913710601,0.7096311529387114,0.16780317561156383,0.716380136613101,0.6842064700012169,0.20582129341066377,0.7269090853160252,0.7377799981580283
val,0.6975086938007761,0.7432720996152833,0.09400915305191201,0.697722964948883,0.7113801372765998,0.13886464222759537,0.6975271157724179,0.688101206974867,0.17030963012859168,0.6976948879746678,0.6598244678930659,0.2109528157145881,0.700644477939954,0.7113801372765998
test,0.6908068461006448,0.7323982947457176,0.09581582224791245,0.6909610395097666,0.6981866356596735,0.14134732308444778,0.6897044812613093,0.6761681081202859,0.17405109765068186,0.6895615554614855,0.6571403439701698,0.21059047811361,0.6909733456239617,0.6981866356596735
